1	505015587.523712
z03mangahere	Billionaire Girl	17	424245706.498572	L	http://www.mangahere.com/manga/billionaire_girl/	424245706.498572
1		412235112.735551	412235331.841411
2		413790908.210552	413790998.986043
3		413790999.046663	413791153.969049
4		413791154.048940	413791392.085943
5		413791392.158980	413791648.919208
6		413816068.587380	413816230.471951
7		413816230.539614	413816351.254344
8		413816351.318755	413816443.954241
9		413816444.019694	413816578.838492
10		413902444.939351	413902603.671812
11		413902603.741836	413902722.771713
12	26	413902722.831462	413902821.606705
13	26	418274477.123301	418274632.127020
14	29	419732814.038511	419733036.766350
15	27	422108235.267261	422108313.911397
16	27	423923904.465639	423924060.082223
17	36	424245706.498572	424245875.841813
