1	556662964.780566
z03mangahere	Gozen 0-ji, Kiss Shi ni Kite yo	19	556122939.652006	L	19	556122939.652006
1.1		480276662.018919	480276928.589138
1.2		480276929.421285	480289069.830742
2		480289070.452614	480289319.024368
3	42	480289320.329057	480289514.662872
4	44	497768643.653783	497768744.289025
5		498373187.936880	498373244.604286
5.5	20	498373245.586723	498373281.372970
6	42	499540295.668824	499540469.762919
11	46	547417015.158905	547417146.165580
15	47	551578249.898469	551579006.530364
19	48	556122939.652006	556123456.585912
