1	556731682.701666
z03mangahere	Kobayashi ga Kawai Sugite Tsurai!!	19	478531245.989016	L	http://www.mangahere.cc/manga/kobayashi_ga_kawai_sugite_tsurai/	478531245.989016
1		410019035.796523	410019291.206200
2		410019293.114035	410019444.288951
3		410019445.779546	410019611.872144
4	34	410019614.227605	410019747.557240
5	35	414822223.672520	414822392.577694
6	39	420691028.245543	420691240.097821
7	40	420947983.644539	420948096.997414
8	35	429850643.829682	429850862.326519
9	34	445642856.611855	445642978.603884
10	36	458026894.873546	458027024.747373
11	34	460955798.328114	460956016.197741
17	32	462165034.080434	462165191.281922
18	28	462251676.682984	462251847.817793
12		462685758.946027	462685758.946027
13	35	463985249.990899	463985397.078087
14	33	471188379.326643	471188506.772445
15	35	473234488.181546	473234611.195803
16	35	473587151.010193	473587304.560976
15.5	14	474300081.029232	474300133.064748
13.5	8	475593317.400862	475593327.639856
19	31	478531245.989016	478531377.347061
