1	556737889.152641
z03mangahere	Mattaku Saikin no Tantei to Kitara	13	552860458.152329	L	http://www.mangahere.cc/manga/mattaku_saikin_no_tantei_to_kitara/	552860458.152329
1		498724318.566048	498724497.228792
2	29	498724498.027131	498724619.742697
3	26	503416658.172875	503416870.074889
4	29	515228460.728485	515228702.676730
5	33	516724450.584241	516724627.588094
5.5	13	517098511.907149	517098559.017412
6	31	518634029.052108	518634127.292193
7	29	521445539.603109	521445783.647658
8	25	525099447.380147	525099557.758944
9	25	531718092.353480	531718155.954735
10	1	544123219.704173	544131867.662195
11	17	545590368.654026	545590713.804856
11.5	12	546438952.030708	546438987.094551
12	29	548698995.406637	548699079.434696
13	33	552860458.152329	552861780.212791
