1	557944572.397184
z03mangahere	Ojojojo	51	550267087.852275	L	http://www.mangahere.cc/manga/ojojojo/	550267087.852275
1		537258001.499432	537258087.600831
2		537258088.362647	537258190.186423
3		537376147.109991	537376227.030176
4		537376227.664013	537376321.150267
5		537376321.785500	537376388.269491
6		537376388.899667	537376441.821862
7		537376442.452038	537376517.357633
8		537376518.026338	537376560.493388
9		537376561.130539	537376651.862704
10		537376652.506368	537376674.763601
10.5		537376675.233507	537376696.581136
11		537376696.939001	537394071.852964
12		537394072.379386	537394145.272196
13		537394145.813432	537394219.741534
14		537394220.373089	537394308.728069
15		537394309.084255	537394416.516203
15.5		537394417.157174	537394452.717951
16		537394453.056781	537394511.102316
17		537394511.685390	537394955.569456
18		537394956.190856	537395019.621801
19		537395020.015508	537395129.443083
19.1		537395130.034656	537395136.105553
20		537395136.420205	537398524.919198
20.5		537398525.426836	537398601.838895
21		537398602.151537	537398685.479517
21.1		537398686.037276	537398695.542442
22		537398695.861464	537398789.018057
23		537398789.539327	537398869.834348
23.1		537398870.369039	537398879.684783
24		537398929.155519	537399408.591760
25		537399409.207776	537400172.549913
26		537400172.851540	537400223.589474
26.5		537400224.494486	537400383.643222
27		537400384.195514	537400880.965918
28		537400881.296070	537401111.341613
28.1		537401111.988764	537401119.974742
28.5		537401120.299630	537401160.793002
29		537401161.447079	537401243.766283
30		537401244.365600	537401314.950425
31		537401315.524695	537401391.106620
32		537401394.861253	537401460.742788
33		537401461.749664	537401530.963645
34		537401531.622999	537401577.882698
35		537401578.532074	537401669.986210
36		537401670.617473	537401743.756268
37		537401744.415831	537401979.350978
38		537401979.955158	537402060.438688
39		537402061.292910	537402152.709010
40		537402153.440379	537402244.461029
41		537402245.020696	537402305.366299
43	7	537402305.923109	537402418.631823
43.5		540049911.563700	540049975.307027
44	11	540049975.957691	540050081.323234
42		540105887.722934	540105887.722934
45	6	540491378.168092	540491489.213121
46	6	541566354.365381	541566429.485113
47	7	542216707.553766	542217229.079662
48	6	542884238.076087	542884356.564723
49	7	545239350.505741	545239465.974574
50	6	548691855.116632	548691918.501573
51	6	550267087.852275	550267195.629363
