1	558976577.908528
z03mangahere	Renai Boukun	52	556815411.789799	L	http://www.mangahere.cc/manga/renai_boukun/	556815411.789799
1		395123234.060961	395123703.022467
2		395123703.591128	395124003.972495
3		395124004.547646	395124238.939168
4		395124239.557024	395124535.306141
5		395124678.849115	395124941.973232
6		395124942.072951	395125219.989348
7		395125220.084973	395125505.689359
8		395125800.618692	395125803.239472
9	30	395125803.332091	395126003.075794
10	36	395239271.909615	395239547.110454
11	28	424469978.796556	424470204.246959
12	28	425135887.287401	425136018.504412
13	31	426174515.443006	426174723.818869
14	48	427294254.847467	427294472.186076
13.5	7	430718131.029482	430718184.901284
15	40	430919328.192654	430919473.876867
16	46	438446426.676470	438446672.049611
17	31	439275697.303716	439275863.345221
17.5		442052908.888797	442052908.888797
18	40	443907730.880038	443907946.011343
19	33	446877945.872297	446878065.326977
20	28	448376029.724936	448376219.035979
21	35	450274686.575685	450274810.689369
22		451785007.331354	451785007.331354
23	34	455429010.979129	455429269.921652
24	38	455809171.079491	455809349.413760
25	42	456495382.928075	456495660.083455
24.1	11	462108156.957473	462108269.148314
26	39	470339630.813860	470339924.280707
27	46	477122996.424301	477123201.181652
28	40	478156056.348745	478156188.089845
29	38	479198127.961717	479198308.689448
29.5	12	479661566.299132	479661634.589336
30	32	517475667.307814	517475678.034671
31	38	481434192.772442	481434386.194767
32	39	482042421.795588	482043624.027382
33	45	483170616.965258	483170838.610632
33.5	12	483426187.956262	483426262.804497
34	31	483805362.931966	483805510.021580
35	4	517475681.179255	517475699.846693
36	41	487814166.125484	487814377.213521
37	45	489194825.240409	489195127.435757
38	42	491052899.460222	491053189.589862
39	44	494169765.082609	494170087.803600
40		517475702.710359	517476027.910019
41	27	517476028.624640	517476181.397106
42	43	503933186.301031	503933394.551328
43	44	508641757.345501	508641900.230936
44	47	510670784.395164	510671094.887522
45	27	514076622.927166	514076766.319395
46	20	522430392.596982	522430503.128781
46.2	21	524151491.247199	524151589.243117
47	41	529257803.828193	529257961.974622
48	49	535783408.193051	535783542.602138
49		536306127.881411	536306350.296029
49.5	10	536306350.733756	536306372.548310
52	39	556815411.789799	556815738.165522
