1	558987681.807747
z03mangahere	Yuusha-sama ni Ikinari Kyuukonsareta no Desu ga	12.2	528212406.043984	L	http://www.mangahere.cc/manga/yuusha_sama_ni_ikinari_kyuukonsareta_no_desu_ga/	528212406.043984
1		494722375.074665	494722375.074665
2	25	495039393.449834	495039441.245404
3	23	496071280.494650	496071390.832483
4	28	499617328.257346	499617405.441872
5	30	502641490.870440	502641585.603115
6	33	505793343.212824	505793546.100498
7	24	508177580.942339	508178165.107617
8		510591286.526754	510591505.339680
9	23	510591506.428926	510591636.866578
10.1	1	513004628.304190	513004631.009327
10		513004619.552641	513004627.469347
10.2	17	513263693.339816	513263721.012874
11	21	515511494.633012	515511574.818971
12.1	11	525585591.405959	525585806.538111
12.2	11	528212406.043984	528212654.852180
