1	567497216.584003
z13mangadex	Gokushufudou: The Way of the House Husband	20	567497140.258504	L	https://mangadex.org/title/23569/gokushufudou-the-way-of-the-house-husband	567497140.258504
1		555539825.552499	555539895.789231
2		555539896.571419	555539950.975300
3		555539951.416572	555540011.711393
4		555540012.069328	555540074.777928
5		555540075.120580	555540143.631982
6		555540144.037428	555540189.884193
7		555540190.275908	555540242.539431
8		555540243.070533	555540289.907641
9	015	560045700.390311	560045783.607605
10	003	560045687.039188	560045697.806163
11	004	560045677.619654	560045683.695787
12	008	560045649.575770	560045675.024101
VOL1 7		558100074.791523	558100074.791523
VOL1 6		558100074.791523	558100074.791523
VOL1 5		558100074.791523	558100074.791523
VOL1 4		558100074.791523	558100074.791523
VOL1 3		558100074.791523	558100074.791523
VOL1 2		558100074.791523	558100074.791523
VOL1 1		558100074.791523	558100074.791523
13		562614516.876633	562614565.537729
14		562614566.084650	562614759.813043
VOL1 8		560649621.437073	560649621.437073
15	015	562614760.039786	562615037.947624
16	015	564291791.544570	564291874.967441
17	015	565333604.963845	565333717.496885
20	013	567497140.258504	567497214.936870
