1	560045559.953420
z13mangadex	Hentai Elf to Majime Orc	5.5	560045480.176777	L	https://mangadex.org/title/23407/hentai-elf-to-majime-orc	560045480.176777
1		558658313.846745	558658346.002281
VOL1 1		558658346.738497	558658355.390820
2		558658355.626782	558658377.036661
2.5		558658377.369202	558658405.520166
3		558658405.848134	558659672.858431
3.5		558659673.492996	558659727.644948
4		558659727.941467	558659759.995693
4.5		558659760.292525	558659784.596978
5		558659784.992338	558659830.765528
6		558659831.556904	558659865.299349
7		558659866.064911	558659891.104873
8		558659891.476344	558661566.921534
8.5		558661567.571714	558665099.794770
9		558665100.452947	558665172.578557
VOL4 9		558665172.805140	558665182.298894
10		558665182.796666	558665225.541175
11	016	558665225.868161	558665292.868672
5.5	011	560045480.176777	560045558.351852
