1	566578587.611707
z13mangadex	Love Fighter Shuravan	14	566578512.842380	L	https://mangadex.org/title/31068/love-fighter-shuravan	566578512.842380
1		564064768.381972	564065579.782638
2		564065580.032190	564068448.035301
3		564068448.291650	564071508.401689
4		564357994.796572	564358117.391070
5		564358117.726136	564359717.974205
6		564359718.280929	564359813.217698
7		564359813.592039	564361447.807645
8		564361448.246676	564361548.852246
9		564365572.052760	564365646.404692
10		564365646.791216	564365749.092362
10.5		564365749.364119	564365763.776590
11	027	564365764.111380	564365853.936669
12	026	564596418.713140	564601348.944006
13	024	566106803.724196	566106882.977835
14	024	566578512.842380	566578585.969105
