1	567332018.557561
z13mangadex	Ore wo Suki Nano wa Omae Dake ka yo	17	567331820.949096	L	https://mangadex.org/title/21161/ore-wo-suki-nano-wa-omae-dake-ka-yo	567331820.949096
1		558332771.141249	558332884.811350
2		558332885.219958	558332933.834050
3		558332934.270262	558333153.158350
4		558333154.039462	558333256.065587
5		558333256.754415	558333457.791750
6		558333458.122331	558333593.098324
6.5		558333593.471801	558333619.029912
7		558333619.354474	558333715.167627
8		558333715.836802	558333812.770642
9		558333813.586927	558333942.330512
10		558333943.130102	558334180.439217
11		558334180.911144	558334413.368681
12		558334413.637248	558334500.737196
12.5		558334510.131080	558334529.020589
13		558334529.783401	558334581.626668
13.5		558334581.916898	558334703.546620
14		558334704.231060	558334799.967760
15	035	558334800.369938	558334868.352336
16	037	563727734.510076	563727956.860440
17	035	567331820.949096	567332018.557134
