1	568181783.577862
z13mangadex	Senpai Kara Me ga Hanasenai To Aru Kaishain no Nichijou	6.5	568181769.470190	L	https://mangadex.org/title/27920/senpai-kara-me-ga-hanasenai-to-aru-kaishain-no-nichijou	568181769.470190
1		563299546.847503	563299557.715260
1-2		563299558.020560	563299559.534758
2		563299559.767941	563299572.931130
2-2		563299573.153068	563299575.052208
3		563299575.550667	563299599.283750
3-2		563299599.594888	563299600.669937
4		563299600.884344	563299615.891577
4-2		563299616.511282	563299617.987286
5		563299618.284727	563299640.018508
6	005	563299640.540093	563299661.936853
6.5	002	568181769.470190	568181781.957310
